step,train_loss,test_loss,train_rmse,test_rmse
1,43.52785110473633,33.225711822509766,6.597564220428467,5.764174938201904
2,1.0372196435928345,0.9127389192581177,1.018439769744873,0.9553737044334412
3,1.037294864654541,0.9130451083183289,1.0184767246246338,0.9555339217185974
4,1.0373376607894897,0.913174033164978,1.0184977054595947,0.9556013941764832
5,1.037351369857788,0.9132006764411926,1.0185045003890991,0.9556153416633606
6,3.8115861415863037,3.414968252182007,1.9523284435272217,1.8479632139205933
7,1.7554279565811157,1.8185828924179077,1.3249256610870361,1.348548412322998
8,4.329891681671143,1.7670035362243652,2.080839157104492,1.329286813735962
9,0.9994910955429077,0.8737983703613281,0.9997454881668091,0.9347718358039856
10,1.0521830320358276,0.9537145495414734,1.0257596969604492,0.9765831232070923
11,1.1609405279159546,1.2128463983535767,1.0774694681167603,1.1012930870056152
12,0.9865283370018005,0.8134188055992126,0.9932413101196289,0.9018973112106323
13,1.0969973802566528,0.9858196377754211,1.0473763942718506,0.9928845167160034
14,1.0208172798156738,0.8886488676071167,1.010354995727539,0.9426817297935486
15,1.1748089790344238,1.051479697227478,1.0838860273361206,1.0254168510437012
16,1.0293738842010498,0.894936203956604,1.0145806074142456,0.9460106492042542
17,0.9114178419113159,0.7471367120742798,0.9546820521354675,0.8643707036972046
18,1.0291476249694824,0.9653280377388,1.0144691467285156,0.9825111031532288
19,1.1763811111450195,1.096056342124939,1.0846110582351685,1.0469270944595337
20,1.072278380393982,1.011810541152954,1.0355087518692017,1.0058879852294922
21,1.0157824754714966,0.9884591698646545,1.0078603029251099,0.9942128658294678
22,0.9346246123313904,0.847000002861023,0.9667598605155945,0.9203260540962219
23,0.9776356816291809,0.9073049426078796,0.9887546300888062,0.9525255560874939
24,1.130289077758789,1.133606195449829,1.0631505250930786,1.0647094249725342
25,1.1879523992538452,1.0861443281173706,1.0899323225021362,1.042182445526123
26,1.0356714725494385,0.9951410293579102,1.0176794528961182,0.9975675344467163
27,0.90261310338974,0.8410489559173584,0.9500595331192017,0.917087197303772
28,0.8588046431541443,0.7384875416755676,0.9267171025276184,0.8593530058860779
29,0.939028263092041,0.7580196261405945,0.969034731388092,0.8706431984901428
30,1.0161259174346924,0.8064683675765991,1.008030652999878,0.8980358242988586
31,0.9076718688011169,0.749421238899231,0.9527181386947632,0.8656911849975586
32,0.7258341312408447,0.6177607774734497,0.8519589900970459,0.7859776020050049
33,0.7246125340461731,0.6351221799850464,0.8512417674064636,0.7969455122947693
34,0.7867265939712524,0.6779639720916748,0.8869761228561401,0.8233856558799744
35,0.7761602401733398,0.6555488705635071,0.8809995651245117,0.8096597194671631
36,0.7225390076637268,0.608208954334259,0.8500229716300964,0.7798775434494019
37,0.6684773564338684,0.5673563480377197,0.817604660987854,0.753230631351471
38,0.6685267090797424,0.5978295207023621,0.8176348209381104,0.7731943726539612
39,0.7095919847488403,0.647721529006958,0.8423728346824646,0.8048114776611328
40,0.7255735993385315,0.6454631686210632,0.851806104183197,0.8034072518348694
41,0.6916728615760803,0.6454155445098877,0.8316687345504761,0.8033775687217712
42,0.6173577904701233,0.5415216088294983,0.7857211828231812,0.735881507396698
43,0.5920712351799011,0.5204846262931824,0.7694616317749023,0.7214462161064148
44,0.6222733855247498,0.5506893396377563,0.7888430953025818,0.7420844435691833
45,0.6304847002029419,0.5520639419555664,0.7940306663513184,0.7430100440979004
46,0.5938127636909485,0.5245273113250732,0.770592451095581,0.7242425680160522
47,0.5777634382247925,0.5040866732597351,0.7601075172424316,0.7099906206130981
48,0.6108492612838745,0.525291383266449,0.7815684676170349,0.7247698903083801
49,0.6163010597229004,0.5266625285148621,0.7850484251976013,0.725715160369873
50,0.5767276883125305,0.5009217262268066,0.7594258785247803,0.7077582478523254
